27,27,27,27,27,27,27,14,14,27,27,27,27,27,27,27,27,27,2,2,2,2,2,2,12,2,2,2,12,2,2,2,2,2,2,2,2,2,
27,5,5,5,5,5,27,14,14,27,5,5,5,5,5,5,5,27,25,2,2,2,2,2,12,2,12,2,12,2,12,2,2,2,2,2,2,2,
27,5,5,5,5,5,27,14,14,27,5,5,5,5,5,5,5,27,2,2,2,2,2,2,12,2,12,2,12,2,12,2,2,2,2,2,2,2,
27,5,5,5,5,5,27,14,14,27,5,5,5,5,5,5,5,27,2,2,14,2,2,2,12,2,12,2,12,2,12,2,2,19,25,2,2,2,
27,5,5,5,5,5,27,14,14,27,5,5,5,5,5,5,5,27,2,2,2,2,2,2,12,2,12,2,12,2,12,2,19,19,25,25,17,2,
27,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,27,17,2,2,2,2,2,12,2,12,2,12,2,12,2,2,2,25,17,17,2,
27,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,27,25,25,2,2,2,2,2,2,12,2,2,2,12,2,2,17,17,25,25,2,
27,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,27,27,27,27,27,27,27,27,27,27,27,27,27,27,2,2,2,2,2,2,2,
27,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0,8,5,0,8,5,5,5,5,5,5,5,5,5,27,2,2,2,2,2,2,2,
27,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,16,13,5,16,13,5,5,5,5,30,32,5,0,8,27,2,2,2,2,2,2,2,
27,5,30,32,5,0,8,5,5,5,30,32,5,5,5,5,5,5,5,5,5,5,5,5,5,33,34,5,16,13,27,2,17,2,17,17,2,2,
27,5,33,34,5,16,13,5,5,5,33,34,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,27,2,17,17,17,17,2,2,
27,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,27,27,27,27,27,27,27,27,
27,5,30,32,5,5,5,30,32,5,0,8,5,5,30,32,5,5,5,5,5,5,5,5,5,5,5,0,8,5,5,5,5,5,5,5,5,27,
27,5,33,34,5,5,5,33,34,5,16,13,5,5,33,34,5,5,5,5,5,5,5,5,5,5,5,16,13,5,5,5,5,5,5,5,5,27,
27,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,27,
27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,5,5,5,27,27,27,27,27,27,27,27,27,27,27,27,27,
2,2,2,2,2,27,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,27,
2,25,17,17,2,27,5,0,8,5,5,30,32,5,5,30,32,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,27,
2,25,17,2,2,27,5,16,13,5,5,33,34,5,5,33,34,5,5,5,5,5,5,5,5,5,30,32,5,5,5,0,8,30,32,5,5,27,
2,25,17,2,2,27,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,33,34,5,5,5,16,13,33,34,5,5,27,
2,25,17,17,2,27,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,27,
2,2,2,2,2,27,5,5,5,5,5,0,8,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,27,
2,2,2,2,2,27,5,5,30,32,5,16,13,5,5,5,5,5,5,5,1,9,9,1,5,5,5,5,5,5,5,5,5,5,5,5,5,27,
2,2,25,17,2,27,5,5,33,34,5,5,5,5,5,5,15,15,15,5,9,24,24,9,5,5,5,5,5,5,5,5,5,5,5,5,5,27,
2,2,17,2,2,27,5,5,5,5,5,5,5,5,5,5,5,5,5,5,9,24,24,9,5,5,5,5,0,8,5,30,32,5,5,5,5,27,
2,2,2,2,2,27,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,9,9,1,5,5,5,5,16,13,5,33,34,5,5,5,27,27,
2,17,25,2,2,27,5,5,5,5,5,5,5,30,32,30,32,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,27,27,2,
2,2,17,17,2,27,5,0,8,5,5,5,5,33,34,33,34,5,5,15,15,5,5,5,0,8,5,5,5,5,5,5,5,5,5,27,2,2,
2,2,25,25,2,27,5,16,13,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,16,13,5,5,5,5,5,5,5,5,5,27,2,2,
2,17,17,17,2,27,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,27,2,2,
2,17,25,2,2,27,5,30,32,5,5,5,5,0,8,5,5,5,5,0,8,0,8,5,5,5,30,32,5,5,5,5,5,0,8,27,2,2,
2,2,17,2,2,27,27,33,34,5,5,5,5,16,13,5,5,5,5,16,13,16,13,5,5,5,33,34,5,5,5,5,5,16,13,27,2,2,
2,2,2,2,2,2,27,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,27,27,2,
2,2,2,2,2,2,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,5,5,5,5,5,5,5,5,5,5,5,5,27,2,
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,27,27,27,27,27,27,27,3,3,27,27,27,27,27,2
